Gene	asRNA	Correlation	Correlation_pvalue	Num_experiments
SACI_RS00700	asRNA_63	0.029196828509596918	0.8677690253718645	35
SACI_RS00700	asRNA_64	0.03645538173163849	0.8352998469435796	35
SACI_RS00705	asRNA_65	-0.14046246280817282	0.42092957730232433	35
SACI_RS00705	asRNA_66	-0.019655305157415634	0.9107679364599154	35
SACI_RS00710	asRNA_66	0.17306802658277132	0.32011180896861563	35
SACI_RS00735	asRNA_67	0.41856012416481203	0.012335777707306338	35
SACI_RS00735	asRNA_68	0.04197386569072549	0.8107894025194704	35
SACI_RS00740	asRNA_69	-0.10452750966596429	0.550123260256279	35
SACI_RS00745	asRNA_70	-0.5070736146349459	0.0018784738274632829	35
SACI_RS00750	asRNA_71	0.11651537974836051	0.5050556224020241	35
SACI_RS00780	asRNA_72	0.3467643531587848	0.04127157823551935	35
SACI_RS00785	asRNA_73	-0.13250693051596596	0.4479680203727033	35
SACI_RS00795	asRNA_74	0.1164047411331176	0.5054628990460899	35
SACI_RS00795	asRNA_75	0.3350033719493075	0.04916146963599307	35
SACI_RS00850	asRNA_77	-0.725853077851575	8.040694838196487e-07	35
SACI_RS00855	asRNA_78	-0.1252714753966278	0.4733538372687354	35
SACI_RS00855	asRNA_79	-0.5168594445625079	0.001477556822883308	35
SACI_RS00900	asRNA_82	0.115885992940715	0.507374682881123	35
SACI_RS00925	asRNA_83	-0.03773182876739684	0.8296160210219861	35
SACI_RS00980	asRNA_85	0.27278512715540837	0.11286541030903943	35
SACI_RS01010	asRNA_86	0.008621775527561057	0.9607953698451326	35
SACI_RS01025	asRNA_87	0.1379087909674223	0.42950751766432677	35
SACI_RS01050	asRNA_88	-0.298328555416472	0.0817319762992143	35
SACI_RS01060	asRNA_89	0.2649054023564125	0.12407124295504575	35
SACI_RS01090	asRNA_90	0.09794204216149097	0.5756580677146192	35
SACI_RS01095	asRNA_91	0.6838045922229679	5.947828280914766e-06	35
SACI_RS01095	asRNA_92	0.12815677574492054	0.4631412999275351	35
SACI_RS01100	asRNA_92	-0.2945013394528339	0.08591746697470484	35
SACI_RS01105	asRNA_93	0.11204407886297744	0.5216454524293501	35
SACI_RS01120	asRNA_94	-0.25500386611798204	0.1393005580997058	35
SACI_RS01135	asRNA_95	-0.1386313250774237	0.4270707095794457	35
SACI_RS01140	asRNA_995			0
SACI_RS01150	asRNA_96	0.07389791763795034	0.6731080611525919	35
